insight,category,mentions,num_restaurants
friendly staff,service,349,10
breakfast,food,325,8
great breakfast,food,167,6
wonderful baristas,service,162,7
iced latte,coffee,118,9
flat white,coffee,113,7
matcha,specialty_drink,81,8
light eggs benedicts,food,79,1
amazing cappuccino,coffee,61,6
cold brew,specialty_drink,56,5
chai tea latte,coffee,48,4
multiple avocado toast,food,42,3
latte art,coffee,30,1
friendly and welcoming,service,24,4
iced,specialty_drink,21,3
mascarpone toast,food,13,1
delicious matcha latte,coffee,10,2
latte delicious friendly,coffee,9,1
delicious sourdough toast,food,8,1
barista luis,service,8,1
jasmine infused latte,coffee,7,1
long espresso,coffee,7,1
spot on espresso,coffee,7,1
latte peanut,coffee,6,1
breakfast toast,food,5,1
coffee and matcha,specialty_drink,5,2
fresh pastry great,food,4,1
tomato toast,food,4,1
yummy croissant highly,food,4,1
breakfast halloumi avo,food,4,1
barista is super,service,3,1
delicious breakfasts tucked,food,3,1
limited pastry selection,food,3,2
amazing breakfast joint,food,2,1
toast lovely,food,2,1
flavor loving matcha,specialty_drink,2,1
attention priced,specialty_drink,2,1
chocolate croissant,food,2,1
pistachio latte,coffee,2,1
pastry great coffee,food,2,1
good toaster tasting,food,2,1
loving matcha passion,specialty_drink,2,1
poke bowl iced,specialty_drink,2,1
specialty toaster,food,2,1
ordered pink latte,coffee,2,1
matcha place opened,specialty_drink,2,1
welcoming place,service,2,1
croissant baked hot,food,1,1
flavor team,specialty_drink,1,1
good mainly toast,food,1,1
